tr,eu5,imm7,ref2,ref3,ref4,country,germany,name,male,age,edu,income,unemployed,lrscale
0,0.7,0.7,1,1,1,0,,Belgium,1,61,6,2,1,4
0,0.5,0.5,0.75,1,0.75,0,,Belgium,0,20,4,9,1,
0,0.3,0.3,0,0.5,0.75,0,,Belgium,0,47,4,6,0,5
0,0.4,0.5,0.75,1,0.75,0,,Belgium,1,65,2,8,0,4
0,0.8,0.7,1,1,1,0,,Belgium,1,24,7,8,0,2
0,0.6,0.4,0.75,0.25,0.25,0,,Belgium,1,31,4,6,0,5
1,0.7,0.5,0.75,0.5,0.5,0,,Belgium,1,50,2,6,0,4
0,0.5,0.5,0.25,0.5,0.75,0,,Belgium,0,83,1,2,0,4
0,0.5,0.5,0.25,0.75,0.25,0,,Belgium,0,24,6,9,0,5
0,0,1,0.5,0.5,0.75,0,,Belgium,1,52,7,4,0,6
0,0.8,0.7,0.25,0.75,0.75,0,,Belgium,1,23,7,10,0,5
0,0.5,0.6,0.5,1,0.5,0,,Belgium,1,35,7,5,1,5
1,0.4,0.3,0.75,0.5,0.25,0,,Belgium,0,67,2,4,0,7
0,0.1,0.6,0,0.5,0.25,0,,Belgium,0,54,4,7,0,5
0,0.8,0.5,1,1,1,0,,Belgium,0,30,7,1,0,
1,0.4,0.5,0.75,0.25,0.25,0,,Belgium,0,54,2,6,0,2
1,0.6,0.1,0,0.5,0.25,0,,Belgium,1,55,2,3,0,5
1,0.5,0.4,0.25,0.5,0,0,,Belgium,1,20,2,3,0,7
0,0.7,0.3,0.75,0.25,0.5,0,,Belgium,1,56,1,4,0,0
1,0,0.3,,,,0,,Belgium,1,46,4,6,0,5
0,0.1,0.5,0.25,0.25,0.25,0,,Belgium,1,34,5,9,0,10
0,0.3,0.3,0.5,0.75,1,0,,Belgium,0,20,4,8,0,6
0,0.5,0.5,0.5,0.25,0.5,0,,Belgium,1,39,6,5,0,4
1,0.3,0.5,1,0.5,0.75,0,,Belgium,1,21,2,3,0,3
0,,0.7,0.5,0.25,0.75,0,,Belgium,1,40,1,4,0,5
0,0.2,0.8,0.25,0.75,0.75,0,,Belgium,0,42,7,10,0,8
0,0.3,0.3,0.5,0.75,0.75,0,,Belgium,0,17,2,2,0,3
0,0.5,,0.25,0.25,0.25,0,,Belgium,0,78,2,4,0,
1,0.6,0.6,0,0.25,0.25,0,,Belgium,1,50,7,10,0,7
1,0.5,0.5,1,0.75,1,0,,Belgium,1,34,6,5,0,6
0,0.4,0.4,0,0.75,0,0,,Belgium,1,49,3,2,0,5
0,0.3,0.5,1,1,1,0,,Belgium,0,51,2,8,0,
